integer value	ROI intensity	reference intensity
  0.000000	21142.000000	  0.000000
 20.000000	21651.000000	  0.003314
 40.000000	21159.000000	  0.003480
 60.000000	21127.000000	  0.003480
 80.000000	20866.000000	  0.003646
100.000000	20745.000000	  0.003480
120.000000	20153.000000	  0.003314
140.000000	19878.000000	  0.003646
160.000000	20136.000000	  0.003314
180.000000	19518.000000	  0.003480
200.000000	19326.000000	  0.003646
220.000000	19916.000000	  0.003480
240.000000	20104.000000	  0.003646
260.000000	19739.000000	  0.003480
280.000000	20276.000000	  0.003646
300.000000	20552.000000	  0.003646
320.000000	19616.000000	  0.003480
340.000000	19200.000000	  0.003646
360.000000	19845.000000	  0.003480
380.000000	19557.000000	  0.003480
400.000000	20104.000000	  0.003480
420.000000	20694.000000	  0.003646
440.000000	20466.000000	  0.003480
460.000000	20357.000000	  0.003646
480.000000	21237.000000	  0.003646
500.000000	20881.000000	  0.003480
520.000000	21621.000000	  0.003480
540.000000	21698.000000	  0.003480
560.000000	21962.000000	  0.003646
580.000000	22269.000000	  0.003480
600.000000	22431.000000	  0.003480
620.000000	21387.000000	  0.003811
640.000000	22232.000000	  0.003646
660.000000	23646.000000	  0.003646
680.000000	23945.000000	  0.003480
700.000000	24018.000000	  0.003480
720.000000	24567.000000	  0.003480
740.000000	25011.000000	  0.003646
760.000000	25836.000000	  0.003646
780.000000	27196.000000	  0.003646
800.000000	27085.000000	  0.003480
820.000000	27654.000000	  0.003480
840.000000	28364.000000	  0.003646
860.000000	28896.000000	  0.003480
880.000000	31446.000000	  0.003646
900.000000	31265.000000	  0.003480
920.000000	33011.000000	  0.003480
940.000000	33283.000000	  0.003480
960.000000	35058.000000	  0.003646
980.000000	35022.000000	  0.003646
1000.000000	38489.000000	  0.003646
1020.000000	39189.000000	  0.003480
1040.000000	40644.000000	  0.003480
1060.000000	40485.000000	  0.003646
1080.000000	41155.000000	  0.003480
1100.000000	43504.000000	  0.003480
1120.000000	49538.000000	  0.003646
1140.000000	50632.000000	  0.003480
1160.000000	50791.000000	  0.003646
1180.000000	50650.000000	  0.003480
1200.000000	55350.000000	  0.003646
1220.000000	55045.000000	  0.003646
1240.000000	58079.000000	  0.003646
1260.000000	61721.000000	  0.003480
1280.000000	61673.000000	  0.003646
1300.000000	66624.000000	  0.003646
1320.000000	65778.000000	  0.003646
1340.000000	67980.000000	  0.003480
1360.000000	71435.000000	  0.003646
1380.000000	73221.000000	  0.003480
1400.000000	75793.000000	  0.003811
1420.000000	75664.000000	  0.003646
1440.000000	76443.000000	  0.003480
1460.000000	79743.000000	  0.003646
1480.000000	80290.000000	  0.003811
1500.000000	79239.000000	  0.003646
1520.000000	80900.000000	  0.003646
1540.000000	79850.000000	  0.003480
1560.000000	82026.000000	  0.003646
1580.000000	82414.000000	  0.003646
1600.000000	81746.000000	  0.003480
1620.000000	79925.000000	  0.003480
1640.000000	82616.000000	  0.003480
1660.000000	82642.000000	  0.003646
1680.000000	82046.000000	  0.003646
1700.000000	79679.000000	  0.003646
1720.000000	80539.000000	  0.003480
1740.000000	79548.000000	  0.003646
1760.000000	79507.000000	  0.003480
1780.000000	78158.000000	  0.003480
1800.000000	78284.000000	  0.003646
1820.000000	75022.000000	  0.003480
1840.000000	76927.000000	  0.003646
1860.000000	74456.000000	  0.003646
1880.000000	75483.000000	  0.003480
1900.000000	73637.000000	  0.003480
1920.000000	75788.000000	  0.003480
1940.000000	75192.000000	  0.003646
1960.000000	74563.000000	  0.003646
1980.000000	74650.000000	  0.003480
2000.000000	76468.000000	  0.003646
2020.000000	77146.000000	  0.003480
2040.000000	75163.000000	  0.003646
2060.000000	75899.000000	  0.003480
2080.000000	80559.000000	  0.003480
2100.000000	80106.000000	  0.003480
2120.000000	80622.000000	  0.003646
2140.000000	81088.000000	  0.003314
2160.000000	79027.000000	  0.003811
2180.000000	81546.000000	  0.003646
2200.000000	82808.000000	  0.003646
2220.000000	82508.000000	  0.003646
2240.000000	82946.000000	  0.003646
2260.000000	82957.000000	  0.003480
2280.000000	83121.000000	  0.003646
2300.000000	83121.000000	  0.003646
2320.000000	83103.000000	  0.003646
2340.000000	83121.000000	  0.003480
2360.000000	83121.000000	  0.003646
2380.000000	83121.000000	  0.003646
2400.000000	83121.000000	  0.003480
2420.000000	83121.000000	  0.003646
2440.000000	83121.000000	  0.003480
2460.000000	83121.000000	  0.003480
2480.000000	83121.000000	  0.003646
2500.000000	83121.000000	  0.003646
2520.000000	83121.000000	  0.003646
2540.000000	83121.000000	  0.003480
2560.000000	83121.000000	  0.003646
2580.000000	83121.000000	  0.003646
2600.000000	83121.000000	  0.003646
2620.000000	83065.000000	  0.003480
2640.000000	83023.000000	  0.003646
2660.000000	82829.000000	  0.003646
2680.000000	82989.000000	  0.003480
2700.000000	82384.000000	  0.003646
2720.000000	82839.000000	  0.003646
2740.000000	81344.000000	  0.003646
2760.000000	79071.000000	  0.003480
2780.000000	77740.000000	  0.003480
2800.000000	74227.000000	  0.003646
2820.000000	70935.000000	  0.003646
2840.000000	70909.000000	  0.003646
2860.000000	70889.000000	  0.003646
2880.000000	68339.000000	  0.003480
2900.000000	68176.000000	  0.003646
2920.000000	63499.000000	  0.003646
2940.000000	61904.000000	  0.003646
2960.000000	62243.000000	  0.003480
2980.000000	62875.000000	  0.003480
3000.000000	62438.000000	  0.003480
3020.000000	59627.000000	  0.003646
3040.000000	59939.000000	  0.003480
3060.000000	56182.000000	  0.003480
3080.000000	54600.000000	  0.003480
3100.000000	52492.000000	  0.003314
3120.000000	52806.000000	  0.003480
3140.000000	51218.000000	  0.003480
3160.000000	49150.000000	  0.003480
3180.000000	50919.000000	  0.003480
3200.000000	47844.000000	  0.003480
3220.000000	46956.000000	  0.003480
3240.000000	45538.000000	  0.003646
3260.000000	44483.000000	  0.003646
3280.000000	45152.000000	  0.003480
3300.000000	41836.000000	  0.003646
3320.000000	43857.000000	  0.003480
3340.000000	41575.000000	  0.003480
3360.000000	40951.000000	  0.003646
3380.000000	40699.000000	  0.003480
3400.000000	40655.000000	  0.003646
3420.000000	38322.000000	  0.003646
3440.000000	40324.000000	  0.003480
3460.000000	39971.000000	  0.003480
3480.000000	40150.000000	  0.003646
3500.000000	39652.000000	  0.003480
3520.000000	39472.000000	  0.003480
3540.000000	39855.000000	  0.003480
3560.000000	41117.000000	  0.003480
3580.000000	41803.000000	  0.003646
3600.000000	40984.000000	  0.003646
