integer value	ROI intensity	reference intensity
800.000000	11307.000000	  0.003314
820.000000	11601.000000	  0.003480
840.000000	11514.000000	  0.003480
860.000000	11857.000000	  0.003646
880.000000	11692.000000	  0.003646
900.000000	11884.000000	  0.003314
920.000000	11855.000000	  0.003314
940.000000	11679.000000	  0.003148
960.000000	11475.000000	  0.003646
980.000000	12176.000000	  0.003314
1000.000000	11834.000000	  0.003314
1020.000000	12917.000000	  0.003646
1040.000000	12568.000000	  0.003314
1060.000000	12851.000000	  0.003148
1080.000000	13551.000000	  0.003314
1100.000000	13529.000000	  0.003148
1120.000000	13701.000000	  0.003480
1140.000000	14189.000000	  0.003314
1160.000000	14328.000000	  0.003148
1180.000000	15500.000000	  0.003480
1200.000000	15832.000000	  0.003480
1220.000000	16422.000000	  0.003646
1240.000000	17027.000000	  0.003314
1260.000000	17573.000000	  0.003148
1280.000000	18875.000000	  0.003480
1300.000000	18688.000000	  0.003314
1320.000000	19914.000000	  0.003646
1340.000000	20128.000000	  0.003148
1360.000000	21161.000000	  0.003646
1380.000000	22704.000000	  0.003480
1400.000000	22508.000000	  0.003314
1420.000000	23710.000000	  0.003314
1440.000000	25528.000000	  0.003480
1460.000000	26040.000000	  0.003646
1480.000000	27864.000000	  0.003480
1500.000000	28367.000000	  0.003314
1520.000000	29939.000000	  0.003148
1540.000000	30429.000000	  0.003314
1560.000000	31427.000000	  0.003480
1580.000000	32632.000000	  0.003480
1600.000000	34492.000000	  0.003314
1620.000000	35031.000000	  0.003148
1640.000000	37059.000000	  0.003480
1660.000000	37755.000000	  0.003480
1680.000000	37722.000000	  0.003480
1700.000000	38061.000000	  0.003480
1720.000000	38765.000000	  0.003480
1740.000000	39294.000000	  0.003646
1760.000000	40329.000000	  0.003480
1780.000000	39433.000000	  0.003480
1800.000000	39581.000000	  0.003314
1820.000000	41758.000000	  0.003646
1840.000000	41392.000000	  0.003480
1860.000000	38705.000000	  0.003480
1880.000000	39188.000000	  0.003480
1900.000000	39416.000000	  0.003480
1920.000000	37992.000000	  0.003646
1940.000000	37407.000000	  0.003480
1960.000000	36904.000000	  0.003646
1980.000000	38266.000000	  0.003314
2000.000000	37039.000000	  0.003480
2020.000000	37223.000000	  0.003314
2040.000000	36694.000000	  0.003480
2060.000000	35852.000000	  0.003480
2080.000000	36100.000000	  0.003314
2100.000000	35069.000000	  0.003314
2120.000000	35269.000000	  0.003314
2140.000000	35536.000000	  0.003480
2160.000000	36926.000000	  0.003480
2180.000000	37064.000000	  0.003314
2200.000000	37959.000000	  0.003314
2220.000000	37720.000000	  0.003480
2240.000000	37934.000000	  0.003314
2260.000000	40054.000000	  0.003314
2280.000000	40401.000000	  0.003480
2300.000000	41475.000000	  0.003480
2320.000000	42844.000000	  0.003314
2340.000000	43673.000000	  0.003480
2360.000000	46481.000000	  0.003480
2380.000000	46366.000000	  0.003314
2400.000000	49586.000000	  0.003480
2420.000000	51509.000000	  0.003480
2440.000000	52055.000000	  0.003480
2460.000000	53112.000000	  0.003480
2480.000000	56225.000000	  0.003314
2500.000000	54779.000000	  0.003646
2520.000000	57077.000000	  0.003480
2540.000000	57718.000000	  0.003480
2560.000000	57149.000000	  0.003314
2580.000000	60056.000000	  0.003480
2600.000000	60219.000000	  0.003480
2620.000000	59199.000000	  0.003480
2640.000000	59415.000000	  0.003314
2660.000000	59362.000000	  0.003480
2680.000000	58746.000000	  0.003646
2700.000000	59095.000000	  0.003480
2720.000000	59117.000000	  0.003480
2740.000000	58730.000000	  0.003480
2760.000000	56377.000000	  0.003314
2780.000000	54904.000000	  0.003314
2800.000000	54768.000000	  0.003480
2820.000000	56030.000000	  0.003480
2840.000000	53951.000000	  0.003480
2860.000000	52910.000000	  0.003480
2880.000000	51787.000000	  0.003480
2900.000000	51849.000000	  0.003480
2920.000000	49647.000000	  0.003314
2940.000000	49638.000000	  0.003480
2960.000000	49117.000000	  0.003480
2980.000000	48335.000000	  0.003480
3000.000000	47550.000000	  0.003480
3020.000000	49409.000000	  0.003314
3040.000000	50481.000000	  0.003314
3060.000000	49966.000000	  0.003148
3080.000000	48681.000000	  0.003646
3100.000000	48882.000000	  0.003480
3120.000000	50514.000000	  0.003480
3140.000000	49789.000000	  0.003480
3160.000000	51993.000000	  0.003480
3180.000000	53332.000000	  0.003480
3200.000000	53966.000000	  0.003646
3220.000000	53924.000000	  0.003480
3240.000000	57402.000000	  0.003646
3260.000000	56348.000000	  0.003480
3280.000000	57671.000000	  0.003646
3300.000000	59173.000000	  0.003480
3320.000000	60796.000000	  0.003314
3340.000000	61148.000000	  0.003314
3360.000000	63833.000000	  0.003314
3380.000000	61530.000000	  0.003480
3400.000000	64406.000000	  0.003314
3420.000000	63321.000000	  0.003314
3440.000000	63473.000000	  0.003480
3460.000000	60750.000000	  0.003480
3480.000000	61069.000000	  0.003314
3500.000000	60831.000000	  0.003314
3520.000000	60449.000000	  0.003480
3540.000000	59068.000000	  0.003314
3560.000000	59947.000000	  0.003480
3580.000000	58684.000000	  0.003314
3600.000000	58179.000000	  0.003314
3620.000000	53725.000000	  0.003480
3640.000000	52760.000000	  0.003314
3660.000000	51810.000000	  0.003314
3680.000000	51272.000000	  0.003480
3700.000000	49647.000000	  0.003480
3720.000000	48437.000000	  0.003480
3740.000000	46783.000000	  0.003480
3760.000000	45269.000000	  0.003314
3780.000000	47994.000000	  0.003480
3800.000000	45509.000000	  0.003480
3820.000000	44743.000000	  0.003148
3840.000000	45146.000000	  0.003314
3860.000000	43593.000000	  0.003314
3880.000000	43558.000000	  0.003480
3900.000000	46123.000000	  0.003480
3920.000000	47088.000000	  0.003646
3940.000000	46985.000000	  0.003480
3960.000000	47696.000000	  0.003314
3980.000000	50466.000000	  0.003480
4000.000000	53061.000000	  0.003480
4020.000000	53264.000000	  0.003314
4040.000000	53563.000000	  0.003148
4060.000000	55613.000000	  0.003314
4080.000000	57088.000000	  0.003646
4100.000000	58853.000000	  0.003480
4120.000000	63079.000000	  0.003314
4140.000000	59387.000000	  0.003314
4160.000000	63733.000000	  0.003480
4180.000000	62120.000000	  0.003314
4200.000000	63763.000000	  0.003646
4220.000000	64028.000000	  0.003314
4240.000000	64257.000000	  0.003314
4260.000000	62686.000000	  0.003148
4280.000000	65861.000000	  0.003314
4300.000000	64320.000000	  0.003646
4320.000000	64219.000000	  0.003314
4340.000000	61602.000000	  0.003646
4360.000000	62866.000000	  0.003480
4380.000000	59085.000000	  0.003314
4400.000000	61520.000000	  0.003480
4420.000000	60764.000000	  0.003480
4440.000000	57558.000000	  0.003148
4460.000000	54116.000000	  0.003480
4480.000000	55437.000000	  0.003646
4500.000000	52532.000000	  0.003480
4520.000000	51271.000000	  0.003646
4540.000000	51600.000000	  0.003314
4560.000000	52813.000000	  0.003480
4580.000000	50065.000000	  0.003314
4600.000000	49302.000000	  0.003480
4620.000000	51877.000000	  0.003314
4640.000000	49235.000000	  0.003480
4660.000000	51637.000000	  0.003314
4680.000000	51029.000000	  0.003480
4700.000000	51321.000000	  0.003148
4720.000000	52118.000000	  0.003480
4740.000000	53767.000000	  0.003480
4760.000000	54032.000000	  0.003480
4780.000000	55581.000000	  0.003646
4800.000000	56997.000000	  0.003314
4820.000000	58892.000000	  0.003480
4840.000000	59269.000000	  0.003480
4860.000000	60474.000000	  0.003480
4880.000000	61924.000000	  0.003480
4900.000000	63273.000000	  0.003314
4920.000000	63325.000000	  0.003314
4940.000000	65371.000000	  0.003314
4960.000000	64379.000000	  0.003314
4980.000000	64825.000000	  0.003314
5000.000000	65568.000000	  0.003646
5020.000000	64149.000000	  0.003314
5040.000000	63417.000000	  0.003148
5060.000000	60736.000000	  0.003480
5080.000000	62333.000000	  0.003646
5100.000000	58626.000000	  0.003314
5120.000000	58625.000000	  0.003480
5140.000000	57885.000000	  0.003646
5160.000000	55938.000000	  0.003314
5180.000000	54629.000000	  0.003314
5200.000000	52670.000000	  0.003480
5220.000000	48640.000000	  0.003480
5240.000000	47098.000000	  0.003646
5260.000000	44536.000000	  0.003148
5280.000000	44188.000000	  0.003480
5300.000000	42705.000000	  0.003480
5320.000000	41020.000000	  0.003148
5340.000000	39343.000000	  0.003646
5360.000000	38498.000000	  0.003646
5380.000000	37134.000000	  0.003148
5400.000000	36992.000000	  0.003480
5420.000000	36050.000000	  0.003646
5440.000000	35964.000000	  0.003314
5460.000000	35519.000000	  0.003480
5480.000000	35727.000000	  0.003646
5500.000000	34959.000000	  0.003480
5520.000000	36779.000000	  0.003480
5540.000000	36780.000000	  0.003148
5560.000000	37308.000000	  0.003811
5580.000000	39308.000000	  0.003646
5600.000000	39547.000000	  0.003314
5620.000000	39848.000000	  0.003480
5640.000000	40216.000000	  0.003811
5660.000000	41728.000000	  0.003480
5680.000000	42597.000000	  0.003314
5700.000000	43541.000000	  0.003480
5720.000000	44565.000000	  0.003314
5740.000000	41774.000000	  0.003314
5760.000000	41791.000000	  0.003480
5780.000000	42482.000000	  0.003314
5800.000000	42480.000000	  0.003646
5820.000000	41729.000000	  0.003646
5840.000000	41773.000000	  0.003480
5860.000000	38909.000000	  0.003148
5880.000000	37804.000000	  0.003314
5900.000000	37139.000000	  0.003480
5920.000000	35598.000000	  0.003314
5940.000000	34499.000000	  0.003480
5960.000000	31768.000000	  0.003314
5980.000000	30939.000000	  0.003480
