integer value	ROI intensity	reference intensity
  0.000000	1947.000000	  0.003646
 50.000000	1926.000000	  0.003480
100.000000	1772.000000	  0.003314
150.000000	1703.000000	  0.003314
200.000000	1559.000000	  0.003480
250.000000	1353.000000	  0.003314
300.000000	1350.000000	  0.003314
350.000000	1260.000000	  0.003480
400.000000	1184.000000	  0.003480
450.000000	1018.000000	  0.003480
500.000000	1036.000000	  0.003480
550.000000	1007.000000	  0.003314
600.000000	966.000000	  0.003480
650.000000	855.000000	  0.003480
700.000000	843.000000	  0.003314
750.000000	837.000000	  0.003314
800.000000	814.000000	  0.003646
850.000000	773.000000	  0.003314
900.000000	790.000000	  0.003480
950.000000	729.000000	  0.003480
1000.000000	723.000000	  0.003646
1050.000000	673.000000	  0.003480
1100.000000	706.000000	  0.003480
1150.000000	682.000000	  0.003646
1200.000000	669.000000	  0.003480
1250.000000	651.000000	  0.003646
1300.000000	627.000000	  0.003480
1350.000000	618.000000	  0.003480
1400.000000	633.000000	  0.003314
1450.000000	610.000000	  0.003480
1500.000000	547.000000	  0.003646
1550.000000	561.000000	  0.003480
1600.000000	612.000000	  0.003480
1650.000000	547.000000	  0.003480
1700.000000	558.000000	  0.003480
1750.000000	559.000000	  0.003480
1800.000000	585.000000	  0.003314
1850.000000	557.000000	  0.003480
1900.000000	582.000000	  0.003480
1950.000000	645.000000	  0.003480
2000.000000	565.000000	  0.003314
2050.000000	642.000000	  0.003480
2100.000000	625.000000	  0.003480
2150.000000	588.000000	  0.003480
2200.000000	576.000000	  0.003314
2250.000000	600.000000	  0.003314
2300.000000	574.000000	  0.003480
2350.000000	580.000000	  0.003314
2400.000000	613.000000	  0.003480
2450.000000	596.000000	  0.003480
2500.000000	584.000000	  0.003314
2550.000000	638.000000	  0.003314
2600.000000	555.000000	  0.003646
2650.000000	599.000000	  0.003314
2700.000000	558.000000	  0.003480
2750.000000	619.000000	  0.003314
2800.000000	622.000000	  0.003480
2850.000000	634.000000	  0.003314
2900.000000	574.000000	  0.003314
2950.000000	629.000000	  0.003480
3000.000000	613.000000	  0.003480
3050.000000	667.000000	  0.003480
3100.000000	631.000000	  0.003314
3150.000000	664.000000	  0.003480
3200.000000	735.000000	  0.003480
3250.000000	680.000000	  0.003480
3300.000000	652.000000	  0.003314
3350.000000	671.000000	  0.003314
3400.000000	727.000000	  0.003314
3450.000000	798.000000	  0.003646
3500.000000	771.000000	  0.003480
3550.000000	879.000000	  0.003314
3600.000000	852.000000	  0.003480
3650.000000	906.000000	  0.003480
3700.000000	1228.000000	  0.003480
3750.000000	1318.000000	  0.003314
3800.000000	1633.000000	  0.003148
3850.000000	2023.000000	  0.003480
3900.000000	2465.000000	  0.003314
3950.000000	2881.000000	  0.003480
4000.000000	3315.000000	  0.003646
4050.000000	3979.000000	  0.003314
4100.000000	4624.000000	  0.003314
4150.000000	5405.000000	  0.003314
4200.000000	6297.000000	  0.003314
4250.000000	7601.000000	  0.003480
4300.000000	9129.000000	  0.003480
4350.000000	11135.000000	  0.003480
4400.000000	13435.000000	  0.003480
4450.000000	16244.000000	  0.003314
4500.000000	19005.000000	  0.003480
4550.000000	21390.000000	  0.003314
4600.000000	23152.000000	  0.003646
4650.000000	24168.000000	  0.003314
4700.000000	24182.000000	  0.003480
4750.000000	23305.000000	  0.003480
4800.000000	21996.000000	  0.003480
4850.000000	20132.000000	  0.003480
4900.000000	18003.000000	  0.003314
4950.000000	15790.000000	  0.003646
5000.000000	14267.000000	  0.003480
5050.000000	12960.000000	  0.003314
5100.000000	11473.000000	  0.003480
5150.000000	10255.000000	  0.003314
5200.000000	9234.000000	  0.003646
5250.000000	8017.000000	  0.003480
5300.000000	7087.000000	  0.003480
5350.000000	6412.000000	  0.003480
5400.000000	5503.000000	  0.003314
5450.000000	4829.000000	  0.003314
5500.000000	4129.000000	  0.003314
5550.000000	3624.000000	  0.003480
5600.000000	3062.000000	  0.003314
