integer value	ROI intensity	reference intensity
  0.000000	13354.000000	  0.003480
 50.000000	12474.000000	  0.003314
100.000000	11691.000000	  0.003314
150.000000	10565.000000	  0.003480
200.000000	9790.000000	  0.003480
250.000000	8925.000000	  0.003314
300.000000	8165.000000	  0.003480
350.000000	7603.000000	  0.003480
400.000000	6929.000000	  0.003480
450.000000	6445.000000	  0.003480
500.000000	6137.000000	  0.003480
550.000000	5661.000000	  0.003314
600.000000	5199.000000	  0.003480
650.000000	4855.000000	  0.003314
700.000000	4605.000000	  0.003480
750.000000	4356.000000	  0.003480
800.000000	4084.000000	  0.003314
850.000000	3804.000000	  0.003314
900.000000	3577.000000	  0.003480
950.000000	3353.000000	  0.003480
1000.000000	3136.000000	  0.003480
1050.000000	2962.000000	  0.003480
1100.000000	2833.000000	  0.003480
1150.000000	2783.000000	  0.003480
1200.000000	2598.000000	  0.003314
1250.000000	2541.000000	  0.003480
1300.000000	2393.000000	  0.003646
1350.000000	2276.000000	  0.003480
1400.000000	2121.000000	  0.003314
1450.000000	2250.000000	  0.003480
1500.000000	2015.000000	  0.003480
1550.000000	2140.000000	  0.003646
1600.000000	2071.000000	  0.003480
1650.000000	2026.000000	  0.003480
1700.000000	1927.000000	  0.003480
1750.000000	1892.000000	  0.003314
1800.000000	1939.000000	  0.003480
1850.000000	1871.000000	  0.003314
1900.000000	1929.000000	  0.003480
1950.000000	1952.000000	  0.003480
2000.000000	1912.000000	  0.003480
2050.000000	1800.000000	  0.003314
2100.000000	1876.000000	  0.003480
2150.000000	1877.000000	  0.003646
2200.000000	1977.000000	  0.003480
2250.000000	1838.000000	  0.003480
2300.000000	1932.000000	  0.003314
2350.000000	2008.000000	  0.003314
2400.000000	1971.000000	  0.003314
2450.000000	1889.000000	  0.003480
2500.000000	1980.000000	  0.003314
2550.000000	2011.000000	  0.003480
2600.000000	2141.000000	  0.003480
2650.000000	2184.000000	  0.003480
2700.000000	2018.000000	  0.003314
2750.000000	2286.000000	  0.003480
2800.000000	2174.000000	  0.003480
2850.000000	2177.000000	  0.003646
2900.000000	2256.000000	  0.003314
2950.000000	2387.000000	  0.003480
3000.000000	2356.000000	  0.003480
3050.000000	2590.000000	  0.003480
3100.000000	2631.000000	  0.003480
3150.000000	2570.000000	  0.003480
3200.000000	2768.000000	  0.003480
3250.000000	2892.000000	  0.003480
3300.000000	2952.000000	  0.003314
3350.000000	3123.000000	  0.003646
3400.000000	3211.000000	  0.003480
3450.000000	3509.000000	  0.003480
3500.000000	3738.000000	  0.003314
3550.000000	3814.000000	  0.003480
3600.000000	4194.000000	  0.003480
3650.000000	4493.000000	  0.003480
3700.000000	5017.000000	  0.003480
3750.000000	5463.000000	  0.003480
3800.000000	6138.000000	  0.003646
3850.000000	6990.000000	  0.003646
3900.000000	7878.000000	  0.003480
3950.000000	9022.000000	  0.003646
4000.000000	10249.000000	  0.003480
4050.000000	11858.000000	  0.003646
4100.000000	13399.000000	  0.003480
4150.000000	15556.000000	  0.003480
4200.000000	17917.000000	  0.003314
4250.000000	20510.000000	  0.003646
4300.000000	23152.000000	  0.003480
4350.000000	26778.000000	  0.003646
4400.000000	31424.000000	  0.003314
4450.000000	37020.000000	  0.003480
4500.000000	44587.000000	  0.003480
4550.000000	52345.000000	  0.003480
4600.000000	60018.000000	  0.003480
4650.000000	65979.000000	  0.003480
4700.000000	72710.000000	  0.003480
4750.000000	76494.000000	  0.003480
4800.000000	79906.000000	  0.003480
4850.000000	80218.000000	  0.003646
4900.000000	80057.000000	  0.003480
4950.000000	77830.000000	  0.003480
5000.000000	73980.000000	  0.003480
5050.000000	69057.000000	  0.003480
5100.000000	63442.000000	  0.003480
5150.000000	57888.000000	  0.003480
5200.000000	52676.000000	  0.003314
5250.000000	48620.000000	  0.003480
5300.000000	43971.000000	  0.003314
5350.000000	40035.000000	  0.003480
5400.000000	36767.000000	  0.003480
5450.000000	33965.000000	  0.003480
5500.000000	30769.000000	  0.003646
5550.000000	28293.000000	  0.003646
5600.000000	25603.000000	  0.003314
5650.000000	23396.000000	  0.003646
5700.000000	20650.000000	  0.003811
5750.000000	18937.000000	  0.003480
5800.000000	17305.000000	  0.003480
5850.000000	15411.000000	  0.003480
5900.000000	13975.000000	  0.003480
5950.000000	12795.000000	  0.003480
6000.000000	11646.000000	  0.003480
6050.000000	10438.000000	  0.003480
6100.000000	9695.000000	  0.003480
6150.000000	8863.000000	  0.003480
6200.000000	8310.000000	  0.003480
6250.000000	7655.000000	  0.003646
6300.000000	7036.000000	  0.003646
6350.000000	6659.000000	  0.003646
6400.000000	6333.000000	  0.003646
6450.000000	5756.000000	  0.003646
6500.000000	5196.000000	  0.003480
6550.000000	5045.000000	  0.003480
6600.000000	4668.000000	  0.003480
6650.000000	4219.000000	  0.003646
6700.000000	3963.000000	  0.003480
6750.000000	3741.000000	  0.003480
