integer value	ROI intensity	reference intensity
3000.000000	18221.000000	  0.003314
3020.000000	18536.000000	  0.003646
3040.000000	18287.000000	  0.003480
3060.000000	17733.000000	  0.003480
3080.000000	18076.000000	  0.003480
3100.000000	17539.000000	  0.003646
3120.000000	18148.000000	  0.003646
3140.000000	17018.000000	  0.003480
3160.000000	16573.000000	  0.003646
3180.000000	17429.000000	  0.003480
3200.000000	16508.000000	  0.003646
3220.000000	16501.000000	  0.003811
3240.000000	16960.000000	  0.003480
3260.000000	16939.000000	  0.003480
3280.000000	16327.000000	  0.003480
3300.000000	16990.000000	  0.003646
3320.000000	17107.000000	  0.003480
3340.000000	17026.000000	  0.003314
3360.000000	16405.000000	  0.003646
3380.000000	16628.000000	  0.003646
3400.000000	16317.000000	  0.003480
3420.000000	16491.000000	  0.003480
3440.000000	16165.000000	  0.003480
3460.000000	16595.000000	  0.003646
3480.000000	16399.000000	  0.003480
3500.000000	16567.000000	  0.003480
3520.000000	16243.000000	  0.003646
3540.000000	16669.000000	  0.003480
3560.000000	17092.000000	  0.003480
3580.000000	16758.000000	  0.003314
3600.000000	17510.000000	  0.003314
3620.000000	17391.000000	  0.003480
3640.000000	18269.000000	  0.003480
3660.000000	18986.000000	  0.003314
3680.000000	18721.000000	  0.003314
3700.000000	19764.000000	  0.003480
3720.000000	18972.000000	  0.003314
3740.000000	19191.000000	  0.003480
3760.000000	19522.000000	  0.003480
3780.000000	20733.000000	  0.003480
3800.000000	20635.000000	  0.003646
3820.000000	22336.000000	  0.003480
3840.000000	22759.000000	  0.003314
3860.000000	23561.000000	  0.003480
3880.000000	25579.000000	  0.003480
3900.000000	25336.000000	  0.003480
3920.000000	27027.000000	  0.003646
3940.000000	28720.000000	  0.003314
3960.000000	30496.000000	  0.003646
3980.000000	33492.000000	  0.003646
4000.000000	34627.000000	  0.003646
4020.000000	37570.000000	  0.003480
4040.000000	38678.000000	  0.003646
4060.000000	40772.000000	  0.003480
4080.000000	41800.000000	  0.003646
4100.000000	44893.000000	  0.003646
4120.000000	43732.000000	  0.003314
4140.000000	46414.000000	  0.003480
4160.000000	48737.000000	  0.003646
4180.000000	50248.000000	  0.003480
4200.000000	48751.000000	  0.003480
4220.000000	51190.000000	  0.003646
4240.000000	51246.000000	  0.003646
4260.000000	51711.000000	  0.003646
4280.000000	51178.000000	  0.003480
4300.000000	51872.000000	  0.003811
4320.000000	53117.000000	  0.003646
4340.000000	49883.000000	  0.003480
4360.000000	52085.000000	  0.003480
4380.000000	49010.000000	  0.003646
4400.000000	48178.000000	  0.003646
4420.000000	47353.000000	  0.003646
4440.000000	47758.000000	  0.003646
4460.000000	47072.000000	  0.003646
4480.000000	46824.000000	  0.003480
4500.000000	45251.000000	  0.003811
4520.000000	44144.000000	  0.003480
4540.000000	44825.000000	  0.003811
4560.000000	43397.000000	  0.003646
4580.000000	43908.000000	  0.003314
4600.000000	45793.000000	  0.003314
4620.000000	45292.000000	  0.003646
4640.000000	42688.000000	  0.003646
4660.000000	44062.000000	  0.003646
4680.000000	46985.000000	  0.003646
4700.000000	45832.000000	  0.003646
4720.000000	47180.000000	  0.003646
4740.000000	48877.000000	  0.003480
4760.000000	51604.000000	  0.003646
4780.000000	54884.000000	  0.003646
4800.000000	53741.000000	  0.003480
4820.000000	56932.000000	  0.003646
4840.000000	56792.000000	  0.003480
4860.000000	61039.000000	  0.003480
4880.000000	62779.000000	  0.003480
4900.000000	63373.000000	  0.003314
4920.000000	65894.000000	  0.003480
4940.000000	70559.000000	  0.003646
4960.000000	72091.000000	  0.003480
4980.000000	70578.000000	  0.003480
5000.000000	70830.000000	  0.003314
5020.000000	73089.000000	  0.003314
5040.000000	73155.000000	  0.003480
5060.000000	71286.000000	  0.003480
5080.000000	72124.000000	  0.003480
5100.000000	70977.000000	  0.003646
5120.000000	70554.000000	  0.003314
5140.000000	71477.000000	  0.003480
5160.000000	72538.000000	  0.003646
5180.000000	68925.000000	  0.003646
5200.000000	67221.000000	  0.003480
5220.000000	64226.000000	  0.003480
5240.000000	66034.000000	  0.003646
5260.000000	63200.000000	  0.003480
5280.000000	64693.000000	  0.003314
5300.000000	61115.000000	  0.003480
5320.000000	61898.000000	  0.003480
5340.000000	57761.000000	  0.003646
5360.000000	57707.000000	  0.003646
5380.000000	55363.000000	  0.003314
5400.000000	58308.000000	  0.003480
5420.000000	59481.000000	  0.003480
5440.000000	57417.000000	  0.003480
5460.000000	59456.000000	  0.003480
5480.000000	57816.000000	  0.003646
5500.000000	59110.000000	  0.003480
5520.000000	60090.000000	  0.003646
5540.000000	61422.000000	  0.003646
5560.000000	61477.000000	  0.003646
5580.000000	66036.000000	  0.003480
5600.000000	64466.000000	  0.003480
5620.000000	67156.000000	  0.003646
5640.000000	70109.000000	  0.003480
5660.000000	72730.000000	  0.003480
5680.000000	71296.000000	  0.003314
5700.000000	75450.000000	  0.003480
5720.000000	69634.000000	  0.003314
5740.000000	75696.000000	  0.003646
5760.000000	74140.000000	  0.003480
5780.000000	74110.000000	  0.003646
5800.000000	72513.000000	  0.003646
5820.000000	73213.000000	  0.003646
5840.000000	71955.000000	  0.003646
5860.000000	72395.000000	  0.003646
5880.000000	69114.000000	  0.003646
5900.000000	67132.000000	  0.003646
5920.000000	66486.000000	  0.003646
5940.000000	63134.000000	  0.003480
