integer value	ROI intensity	reference intensity
1000.000000	55518.000000	  0.000000
1020.000000	54195.000000	  0.003480
1040.000000	52788.000000	  0.003646
1060.000000	53236.000000	  0.003646
1080.000000	53177.000000	  0.003480
1100.000000	52718.000000	  0.003480
1120.000000	51215.000000	  0.003646
1140.000000	49528.000000	  0.003646
1160.000000	47776.000000	  0.003480
1180.000000	46231.000000	  0.003480
1200.000000	44261.000000	  0.003646
1220.000000	42717.000000	  0.003314
1240.000000	40640.000000	  0.003646
1260.000000	39533.000000	  0.003646
1280.000000	38159.000000	  0.003480
1300.000000	37350.000000	  0.003480
1320.000000	34910.000000	  0.003480
1340.000000	33940.000000	  0.003480
1360.000000	33069.000000	  0.003480
1380.000000	32358.000000	  0.003480
1400.000000	30822.000000	  0.003646
1420.000000	32286.000000	  0.003480
1440.000000	29684.000000	  0.003314
1460.000000	28349.000000	  0.003646
1480.000000	28080.000000	  0.003646
1500.000000	27575.000000	  0.003646
1520.000000	28410.000000	  0.003646
1540.000000	28067.000000	  0.003480
1560.000000	28212.000000	  0.003646
1580.000000	27471.000000	  0.003480
1600.000000	27637.000000	  0.003480
1620.000000	27302.000000	  0.003646
1640.000000	26778.000000	  0.003480
1660.000000	27462.000000	  0.003480
1680.000000	27604.000000	  0.003314
1700.000000	27667.000000	  0.003646
1720.000000	27162.000000	  0.003646
1740.000000	28512.000000	  0.003480
1760.000000	29239.000000	  0.003480
1780.000000	28503.000000	  0.003480
1800.000000	29587.000000	  0.003480
1820.000000	29497.000000	  0.003480
1840.000000	31941.000000	  0.003314
1860.000000	31715.000000	  0.003480
1880.000000	32862.000000	  0.003314
1900.000000	33876.000000	  0.003314
1920.000000	33197.000000	  0.003480
1940.000000	35352.000000	  0.003314
1960.000000	35909.000000	  0.003646
1980.000000	38388.000000	  0.003646
2000.000000	40450.000000	  0.003646
2020.000000	41507.000000	  0.003314
2040.000000	43918.000000	  0.003314
2060.000000	44935.000000	  0.003314
2080.000000	48456.000000	  0.003646
2100.000000	48174.000000	  0.003480
2120.000000	50331.000000	  0.003646
2140.000000	52532.000000	  0.003314
2160.000000	53861.000000	  0.003480
2180.000000	53902.000000	  0.003646
2200.000000	56511.000000	  0.003480
2220.000000	53905.000000	  0.003314
2240.000000	57544.000000	  0.003480
2260.000000	56402.000000	  0.003480
2280.000000	56990.000000	  0.003480
2300.000000	56562.000000	  0.003480
2320.000000	58142.000000	  0.003646
2340.000000	54255.000000	  0.003480
